scope,budget,comparator_policy,final_only,comparator_only,both,neither
primary_fixture_passing_wrong,1,literal_first_concatenation,3,6,12,16
primary_fixture_passing_wrong,2,literal_first_concatenation,0,2,25,10
primary_fixture_passing_wrong,4,literal_first_concatenation,0,0,30,7
primary_fixture_passing_wrong,8,literal_first_concatenation,0,0,33,4
primary_fixture_passing_wrong,16,literal_first_concatenation,0,0,34,3
primary_fixture_passing_wrong,32,literal_first_concatenation,0,0,34,3
primary_fixture_passing_wrong,1,generic_type_boundaries,4,4,11,18
primary_fixture_passing_wrong,2,generic_type_boundaries,10,1,15,11
primary_fixture_passing_wrong,4,generic_type_boundaries,8,1,22,6
primary_fixture_passing_wrong,8,generic_type_boundaries,2,1,31,3
primary_fixture_passing_wrong,16,generic_type_boundaries,2,0,32,3
primary_fixture_passing_wrong,32,generic_type_boundaries,2,0,32,3
primary_fixture_passing_wrong,1,fixture_neighbor_only,0,0,15,22
primary_fixture_passing_wrong,2,fixture_neighbor_only,6,0,19,12
primary_fixture_passing_wrong,4,fixture_neighbor_only,8,0,22,7
primary_fixture_passing_wrong,8,fixture_neighbor_only,8,0,25,4
primary_fixture_passing_wrong,16,fixture_neighbor_only,8,0,26,3
primary_fixture_passing_wrong,32,fixture_neighbor_only,8,0,26,3
primary_fixture_passing_wrong,1,randomized_union_order,0,18,15,4
primary_fixture_passing_wrong,2,randomized_union_order,0,9,25,3
primary_fixture_passing_wrong,4,randomized_union_order,0,4,30,3
primary_fixture_passing_wrong,8,randomized_union_order,0,1,33,3
primary_fixture_passing_wrong,16,randomized_union_order,0,0,34,3
primary_fixture_passing_wrong,32,randomized_union_order,0,0,34,3
primary_fixture_passing_wrong,1,uniform_random_domain,0,15,15,7
primary_fixture_passing_wrong,2,uniform_random_domain,4,10,21,2
primary_fixture_passing_wrong,4,uniform_random_domain,1,7,29,0
primary_fixture_passing_wrong,8,uniform_random_domain,1,4,32,0
primary_fixture_passing_wrong,16,uniform_random_domain,0,3,34,0
primary_fixture_passing_wrong,32,uniform_random_domain,0,3,34,0
