policy,budget,scope,denominator,detected,detection_rate,median_first_witness_rank,unexpected_in_domain_mismatch_count,source
source_behavioral_diversity,1,controlled_primary_fixture_passing_wrong,37,15,0.40540540540540543,1.0,0,phase2a_sbdw
source_behavioral_diversity,1,controlled_low_density_fixture_passing_wrong,16,1,0.0625,1.0,0,phase2a_sbdw
source_behavioral_diversity,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,2,controlled_primary_fixture_passing_wrong,37,28,0.7567567567567568,1.0,0,phase2a_sbdw
source_behavioral_diversity,2,controlled_low_density_fixture_passing_wrong,16,7,0.4375,2.0,0,phase2a_sbdw
source_behavioral_diversity,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,4,controlled_primary_fixture_passing_wrong,37,32,0.8648648648648649,2.0,0,phase2a_sbdw
source_behavioral_diversity,4,controlled_low_density_fixture_passing_wrong,16,11,0.6875,2.0,0,phase2a_sbdw
source_behavioral_diversity,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,8,controlled_primary_fixture_passing_wrong,37,33,0.8918918918918919,2.0,0,phase2a_sbdw
source_behavioral_diversity,8,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
source_behavioral_diversity,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,16,controlled_primary_fixture_passing_wrong,37,35,0.9459459459459459,2.0,0,phase2a_sbdw
source_behavioral_diversity,16,controlled_low_density_fixture_passing_wrong,16,14,0.875,2.5,0,phase2a_sbdw
source_behavioral_diversity,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,16,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity,16,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,32,controlled_primary_fixture_passing_wrong,37,35,0.9459459459459459,2.0,0,phase2a_sbdw
source_behavioral_diversity,32,controlled_low_density_fixture_passing_wrong,16,14,0.875,2.5,0,phase2a_sbdw
source_behavioral_diversity,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity,32,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity,32,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
source_behavioral_diversity,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,1,controlled_primary_fixture_passing_wrong,37,15,0.40540540540540543,1.0,0,phase2a_sbdw
output_diversity_only,1,controlled_low_density_fixture_passing_wrong,16,1,0.0625,1.0,0,phase2a_sbdw
output_diversity_only,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,2,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,2.0,0,phase2a_sbdw
output_diversity_only,2,controlled_low_density_fixture_passing_wrong,16,10,0.625,2.0,0,phase2a_sbdw
output_diversity_only,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,4,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,2.0,0,phase2a_sbdw
output_diversity_only,4,controlled_low_density_fixture_passing_wrong,16,10,0.625,2.0,0,phase2a_sbdw
output_diversity_only,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,8,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,2.0,0,phase2a_sbdw
output_diversity_only,8,controlled_low_density_fixture_passing_wrong,16,10,0.625,2.0,0,phase2a_sbdw
output_diversity_only,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_diversity_only,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,16,controlled_primary_fixture_passing_wrong,37,33,0.8918918918918919,2.0,0,phase2a_sbdw
output_diversity_only,16,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
output_diversity_only,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,16,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_diversity_only,16,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_diversity_only,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_diversity_only,32,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,2.0,0,phase2a_sbdw
output_diversity_only,32,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
output_diversity_only,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_diversity_only,32,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_diversity_only,32,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_diversity_only,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,1,controlled_primary_fixture_passing_wrong,37,17,0.4594594594594595,1.0,0,phase2a_sbdw
coverage_diversity_only,1,controlled_low_density_fixture_passing_wrong,16,3,0.1875,1.0,0,phase2a_sbdw
coverage_diversity_only,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,2,controlled_primary_fixture_passing_wrong,37,26,0.7027027027027027,1.0,0,phase2a_sbdw
coverage_diversity_only,2,controlled_low_density_fixture_passing_wrong,16,7,0.4375,2.0,0,phase2a_sbdw
coverage_diversity_only,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,4,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,1.0,0,phase2a_sbdw
coverage_diversity_only,4,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
coverage_diversity_only,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,8,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,1.0,0,phase2a_sbdw
coverage_diversity_only,8,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
coverage_diversity_only,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,16,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,1.0,0,phase2a_sbdw
coverage_diversity_only,16,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
coverage_diversity_only,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,16,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,16,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,32,controlled_primary_fixture_passing_wrong,37,31,0.8378378378378378,1.0,0,phase2a_sbdw
coverage_diversity_only,32,controlled_low_density_fixture_passing_wrong,16,12,0.75,2.0,0,phase2a_sbdw
coverage_diversity_only,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,32,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,32,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_diversity_only,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,1,controlled_primary_fixture_passing_wrong,37,17,0.4594594594594595,1.0,0,phase2a_sbdw
output_then_coverage,1,controlled_low_density_fixture_passing_wrong,16,3,0.1875,1.0,0,phase2a_sbdw
output_then_coverage,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,2,controlled_primary_fixture_passing_wrong,37,28,0.7567567567567568,1.0,0,phase2a_sbdw
output_then_coverage,2,controlled_low_density_fixture_passing_wrong,16,7,0.4375,2.0,0,phase2a_sbdw
output_then_coverage,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,4,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
output_then_coverage,4,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
output_then_coverage,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,8,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
output_then_coverage,8,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
output_then_coverage,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
output_then_coverage,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,16,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
output_then_coverage,16,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
output_then_coverage,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,16,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_then_coverage,16,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_then_coverage,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
output_then_coverage,32,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
output_then_coverage,32,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
output_then_coverage,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
output_then_coverage,32,natural_llm_primary_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_then_coverage,32,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,14.0,0,phase2a_sbdw
output_then_coverage,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,1,controlled_primary_fixture_passing_wrong,37,17,0.4594594594594595,1.0,0,phase2a_sbdw
coverage_then_output,1,controlled_low_density_fixture_passing_wrong,16,3,0.1875,1.0,0,phase2a_sbdw
coverage_then_output,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,2,controlled_primary_fixture_passing_wrong,37,28,0.7567567567567568,1.0,0,phase2a_sbdw
coverage_then_output,2,controlled_low_density_fixture_passing_wrong,16,7,0.4375,2.0,0,phase2a_sbdw
coverage_then_output,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,4,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
coverage_then_output,4,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
coverage_then_output,4,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,4,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,4,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,4,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,8,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
coverage_then_output,8,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
coverage_then_output,8,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,8,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,8,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
coverage_then_output,8,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,16,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
coverage_then_output,16,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
coverage_then_output,16,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,16,natural_llm_primary_fixture_passing_wrong,2,2,1.0,15.0,0,phase2a_sbdw
coverage_then_output,16,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,15.0,0,phase2a_sbdw
coverage_then_output,16,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
coverage_then_output,32,controlled_primary_fixture_passing_wrong,37,36,0.972972972972973,2.0,0,phase2a_sbdw
coverage_then_output,32,controlled_low_density_fixture_passing_wrong,16,15,0.9375,3.0,0,phase2a_sbdw
coverage_then_output,32,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
coverage_then_output,32,natural_llm_primary_fixture_passing_wrong,2,2,1.0,15.0,0,phase2a_sbdw
coverage_then_output,32,natural_llm_low_density_fixture_passing_wrong,2,2,1.0,15.0,0,phase2a_sbdw
coverage_then_output,32,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,controlled_primary_fixture_passing_wrong,37,17,0.4594594594594595,1.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,controlled_low_density_fixture_passing_wrong,16,3,0.1875,1.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,1,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,controlled_primary_fixture_passing_wrong,37,28,0.7567567567567568,1.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,controlled_low_density_fixture_passing_wrong,16,7,0.4375,2.0,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,controlled_no_mismatch,34,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,natural_llm_primary_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,natural_llm_low_density_fixture_passing_wrong,2,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,2,natural_llm_no_mismatch,166,0,0.0,,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,controlled_primary_fixture_passing_wrong,37,34,0.918918918918919,1.5,0,phase2a_sbdw
source_behavioral_diversity_no_distance,4,controlled_low_density_fixture_passing_wrong,16,13,0.8125,2.0,0,phase2a_sbdw
