dataset,project,source_file,source_function,stable_case_id,stable_candidate_id,candidate_source_category,producing_tool_or_model,producing_tool_or_model_version,prompt_or_transformation_family,compiler,optimization_level,architecture,function_signature,source_loc,argument_count,argument_types,fixture_count,source_char_literal_count,compile_status,sanitizer_status,execution_status,label,label_oracle_type,concrete_labeling_witness,influenced_method_development,drift_family,normalization_or_manual_edit_notes
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O0_ca_int_compare_values_fixture_ifchain_00,normalized_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_fixture_ifchain_semantic_drift,unknown,O0,unknown,"int ca_int_compare_values(int left, int right)",32,2,int;int,4,0,compiled,unknown,executed,plausible_wrong,source_known_hard_probe_trace_mismatch,56 mismatch(es) over phase5b_hard_trace_inputs; concrete input reconstructed in oracle_overlap_audit.json,no,fixture_overfit_stress,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O0_ca_int_compare_values_noop_guard_rewrite,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_behavior_preserving_noop_guard,unknown,O0,unknown,"int ca_int_compare_values(int left, int right)",28,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O0_ca_int_compare_values_original_control,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_original_control,unknown,O0,unknown,"int ca_int_compare_values(int left, int right)",28,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O2_ca_int_compare_values_fixture_ifchain_00,normalized_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_fixture_ifchain_semantic_drift,unknown,O2,unknown,"int ca_int_compare_values(int left, int right)",22,2,int;int,4,0,compiled,unknown,executed,plausible_wrong,source_known_hard_probe_trace_mismatch,56 mismatch(es) over phase5b_hard_trace_inputs; concrete input reconstructed in oracle_overlap_audit.json,no,fixture_overfit_stress,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O2_ca_int_compare_values_noop_guard_rewrite,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_behavior_preserving_noop_guard,unknown,O2,unknown,"int ca_int_compare_values(int left, int right)",21,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_compare_values.c,ca_int_compare_values,ca_int_compare_values,phase6_O2_ca_int_compare_values_original_control,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_original_control,unknown,O2,unknown,"int ca_int_compare_values(int left, int right)",21,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_equal_values.c,ca_int_equal_values,ca_int_equal_values,phase6_O0_ca_int_equal_values_fixture_ifchain_00,normalized_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_fixture_ifchain_semantic_drift,unknown,O0,unknown,"int ca_int_equal_values(int left, int right)",32,2,int;int,4,0,compiled,unknown,executed,plausible_wrong,source_known_hard_probe_trace_mismatch,5 mismatch(es) over phase5b_hard_trace_inputs; concrete input reconstructed in oracle_overlap_audit.json,no,fixture_overfit_stress,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_equal_values.c,ca_int_equal_values,ca_int_equal_values,phase6_O0_ca_int_equal_values_noop_guard_rewrite,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_behavior_preserving_noop_guard,unknown,O0,unknown,"int ca_int_equal_values(int left, int right)",18,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_equal_values.c,ca_int_equal_values,ca_int_equal_values,phase6_O0_ca_int_equal_values_original_control,raw_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_original_control,unknown,O0,unknown,"int ca_int_equal_values(int left, int right)",18,2,int;int,4,0,compile_fail,unknown,not_executed_or_failed,compile_fail,compile_or_runtime_failure,compile/runtime failure status in candidate record,no,adapter+comparison+sign_zero,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
phase6r_ghidra_full,c_algorithms,analysis_inputs/decompile_faithfulness/phase5_sources/ca_int_equal_values.c,ca_int_equal_values,ca_int_equal_values,phase6_O2_ca_int_equal_values_fixture_ifchain_00,normalized_decompiler,Ghidra 12.1.2 headless,12.1.2,phase6_fixture_ifchain_semantic_drift,unknown,O2,unknown,"int ca_int_equal_values(int left, int right)",21,2,int;int,4,0,compiled,unknown,executed,plausible_wrong,source_known_hard_probe_trace_mismatch,5 mismatch(es) over phase5b_hard_trace_inputs; concrete input reconstructed in oracle_overlap_audit.json,no,fixture_overfit_stress,Ghidra output normalized by normalize_ghidra_translation_unit; raw and normalized paths recorded
