candidate_id,project,function_id,candidate_stratum,label,domain_size,canonical_first_witness_rank,total_mismatching_inputs,fraction_of_domain_before_first_witness,complete_domain_cost_inputs,total_enumeration_time_s,complete_mismatch_set_sha256
BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::fixture_overfit_construction_01,BearSSL,BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6,controlled_stress,semantic_wrong,64,1,60,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,c20e30c6360657b5a9007305b30a7ca6df63d76cb6cf6d067b9b99271bfc9e1d
BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::return_value_perturbation_00,BearSSL,BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6,controlled_stress,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::comparison_operator_replacement_00,BearSSL,BearSSL::tools_names.c::is_ign::0004::a92f16112529,controlled_stress,semantic_wrong,64,1,64,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,e4c854fc189de034762b2a7c4441d3d793db1c2edac5086a388df6acde186ab8
BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01,BearSSL,BearSSL::tools_names.c::is_ign::0004::a92f16112529,controlled_stress,semantic_wrong,64,33,1,0.515625,64,unknown_not_recorded_in_sealed_label_artifact,e9a3cd67a1014e08982c9c25df5c06114a26ee17a09a43679bd546d43519f628
TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01,TinyCC,TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409,controlled_stress,semantic_wrong,4096,2049,64,0.500244140625,4096,unknown_not_recorded_in_sealed_label_artifact,e50d15bb85e262822a43ed6259ecd91eefb510139e2095f9b6cc9c37b301eae1
TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::fixture_overfit_construction_00,TinyCC,TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409,controlled_stress,semantic_wrong,4096,2049,128,0.500244140625,4096,unknown_not_recorded_in_sealed_label_artifact,7368810161dc8bb94763c42daef4d944316f4f03572de4986702561140d66ab4
TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add::controlled::fixture_overfit_construction_00,TinyCC,TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add,controlled_stress,semantic_wrong,64,1,60,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,87a4fa87fc91f838f964b05436c3bc141b4b02b488c4d67bfbada3f26ae93249
TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add::controlled::return_value_perturbation_01,TinyCC,TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add,controlled_stress,semantic_wrong,64,1,64,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,d3d160d0e672b3719ae91f7d95bc78ba0cabb242d17cab291fe968920ec92cfe
TinyCC::conftest.c::isid::0001::8f9cf31cf5da::controlled::comparison_operator_replacement_01,TinyCC,TinyCC::conftest.c::isid::0001::8f9cf31cf5da,controlled_stress,semantic_wrong,64,1,64,0.015625,64,unknown_not_recorded_in_sealed_label_artifact,6fda2dda07c9324616d91dfceb5fbf3ce7ff65c004e0e22a33a4cfdb6d1fadfb
TinyCC::conftest.c::isid::0001::8f9cf31cf5da::controlled::integer_or_character_constant_plus_1_00,TinyCC,TinyCC::conftest.c::isid::0001::8f9cf31cf5da,controlled_stress,no_mismatch_under_exact_holdout_domain,64,,0,,64,unknown_not_recorded_in_sealed_label_artifact,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
