wall_clock_budget_s,population,candidate_denominator,supported_candidates,total_runs,supported_runs,mean_detection,median_detection,stddev_detection,p2_5_detection,p97_5_detection,best_seed_detection,worst_seed_detection,median_completed_evaluations,median_unique_domain_coverage,median_exact_domain_coverage_fraction,median_end_to_end_time_to_witness_s,median_in_process_time_to_witness_s,candidates_never_detected_any_seed_count,candidates_never_detected_any_seed,candidates_detected_all_seeds_count,candidates_detected_all_seeds,source_candidate_mismatch_findings,confirmed_in_domain_mismatch_findings,no_mismatch_false_alarms,distinct_no_mismatch_false_alarm_candidates,crashes,timeouts,infrastructure_failures,unsupported_runs,baseline_status,source_literal_dictionary_used,exact_mismatch_witnesses_provided,clang_version
0.1,primary_fixture_passing_wrong,37,37,1110,1110,1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,7.0,0.015625,0.10742383648175746,0.00047900000000000004,0,[],37,"[""BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::fixture_overfit_construction_01"", ""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::fixture_overfit_construction_00"", ""TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add::controlled::fixture_overfit_construction_00"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::controlled::fixture_overfit_construction_00"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::controlled::fixture_overfit_construction_01"", ""TinyCC::tccdbg.c::dwarf_uleb128_size::0003::d476151071dd::controlled::fixture_overfit_construction_01"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::fixture_overfit_construction_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libb64::src_cdecode.c::base64_decode_value::0001::7b72285f2481::controlled::return_value_perturbation_00"", ""libb64::src_cencode.c::base64_encode_value::0001::6dca5895e15c::controlled::fixture_overfit_construction_01"", ""libtomcrypt::src_pk_asn1_der_generalizedtime_der_decode_generalizedtime.c::s_char_to_int::0001::7560b8026c5c::controlled::fixture_overfit_construction_00"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::controlled::fixture_overfit_construction_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_ctype_iscntrl.c::iscntrl::0001::ca58b22988c2::controlled::fixture_overfit_construction_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::fixture_overfit_construction_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::return_value_perturbation_00"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::fixture_overfit_construction_01"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::controlled::fixture_overfit_construction_01"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::controlled::fixture_overfit_construction_00"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::controlled::fixture_overfit_construction_00"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::controlled::fixture_overfit_construction_01"", ""sqlite::src_mem5.c::memsys5Log::0003::f8403d46bdea::controlled::fixture_overfit_construction_00"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::controlled::fixture_overfit_construction_01"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::fixture_overfit_construction_00"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::controlled::fixture_overfit_construction_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::fixture_overfit_construction_00""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
0.1,low_density_fixture_passing_wrong,16,16,480,480,1.0,1.0,0.0,1.0,1.0,1.0,1.0,75.5,23.0,0.21875,0.10780781897483394,0.001425,0,[],16,"[""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::fixture_overfit_construction_00"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::fixture_overfit_construction_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::controlled::fixture_overfit_construction_01"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
0.1,non_fixture_overfit_fixture_passing_wrong,15,15,450,450,1.0,1.0,0.0,1.0,1.0,1.0,1.0,74.0,22.0,0.21875,0.10778004996245727,0.0014045,0,[],15,"[""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libb64::src_cdecode.c::base64_decode_value::0001::7b72285f2481::controlled::return_value_perturbation_00"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::return_value_perturbation_00"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
0.1,no_mismatch_comparison,34,31,1020,930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7994.5,64.0,1.0,,,34,"[""BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::return_value_perturbation_00"", ""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::controlled::integer_or_character_constant_plus_1_00"", ""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::ghidra::clang_O2"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::ghidra::clang_O2"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::ghidra::clang_O2"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::integer_or_character_constant_plus_1_00"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::ghidra::clang_O2"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::controlled::comparison_operator_replacement_00"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::controlled::fixture_overfit_construction_01"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::ghidra::clang_O2"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::controlled::comparison_operator_replacement_00"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::controlled::fixture_overfit_construction_01"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::ghidra::clang_O2"", ""musl::src_ctype_isspace.c::isspace::0001::93f674d2bcdd::ghidra::clang_O2"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::controlled::comparison_operator_replacement_00"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::controlled::return_value_perturbation_01"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::ghidra::clang_O2"", ""musl::src_stdlib_llabs.c::llabs::0001::b58997ecb0f1::controlled::integer_or_character_constant_plus_1_00"", ""musl::src_stdlib_llabs.c::llabs::0001::b58997ecb0f1::controlled::return_value_perturbation_01"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::ghidra::clang_O2"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::ghidra::clang_O2"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::ghidra::clang_O2"", ""sbase::libutil_crypt.c::hexdec::0001::4049dfdaa8fe::controlled::comparison_operator_replacement_01"", ""sbase::libutil_crypt.c::hexdec::0001::4049dfdaa8fe::controlled::return_value_perturbation_00"", ""sbase::make_parser.c::internal::0007::6720595969ae::controlled::fixture_overfit_construction_01"", ""sbase::make_parser.c::internal::0007::6720595969ae::controlled::integer_or_character_constant_plus_1_00"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::controlled::fixture_overfit_construction_01"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::controlled::integer_or_character_constant_plus_1_00"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::ghidra::clang_O2"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::ghidra::clang_O2"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::ghidra::clang_O2"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::return_value_perturbation_01"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::ghidra::clang_O2"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::ghidra::clang_O2""]",0,[],0,0,0,0,0,930,0,90,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
0.1,natural_ghidra_no_mismatch,16,16,480,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8050.5,64.0,1.0,,,16,"[""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::ghidra::clang_O2"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::ghidra::clang_O2"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::ghidra::clang_O2"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::ghidra::clang_O2"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::ghidra::clang_O2"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::ghidra::clang_O2"", ""musl::src_ctype_isspace.c::isspace::0001::93f674d2bcdd::ghidra::clang_O2"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::ghidra::clang_O2"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::ghidra::clang_O2"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::ghidra::clang_O2"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::ghidra::clang_O2"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::ghidra::clang_O2"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::ghidra::clang_O2"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::ghidra::clang_O2"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::ghidra::clang_O2"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::ghidra::clang_O2""]",0,[],0,0,0,0,0,480,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
1.0,primary_fixture_passing_wrong,37,37,1110,1110,1.0,1.0,0.0,1.0,1.0,1.0,1.0,10.0,7.0,0.015625,0.19216276746010408,0.00048249999999999996,0,[],37,"[""BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::fixture_overfit_construction_01"", ""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::fixture_overfit_construction_00"", ""TinyCC::arm64-gen.c::arm64_pe_param_off::0009::790dfaa50add::controlled::fixture_overfit_construction_00"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::controlled::fixture_overfit_construction_00"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::controlled::fixture_overfit_construction_01"", ""TinyCC::tccdbg.c::dwarf_uleb128_size::0003::d476151071dd::controlled::fixture_overfit_construction_01"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::fixture_overfit_construction_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libb64::src_cdecode.c::base64_decode_value::0001::7b72285f2481::controlled::return_value_perturbation_00"", ""libb64::src_cencode.c::base64_encode_value::0001::6dca5895e15c::controlled::fixture_overfit_construction_01"", ""libtomcrypt::src_pk_asn1_der_generalizedtime_der_decode_generalizedtime.c::s_char_to_int::0001::7560b8026c5c::controlled::fixture_overfit_construction_00"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::controlled::fixture_overfit_construction_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_ctype_iscntrl.c::iscntrl::0001::ca58b22988c2::controlled::fixture_overfit_construction_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::fixture_overfit_construction_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::return_value_perturbation_00"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::fixture_overfit_construction_01"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::controlled::fixture_overfit_construction_01"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::controlled::fixture_overfit_construction_00"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::controlled::fixture_overfit_construction_00"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::controlled::fixture_overfit_construction_01"", ""sqlite::src_mem5.c::memsys5Log::0003::f8403d46bdea::controlled::fixture_overfit_construction_00"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::controlled::fixture_overfit_construction_01"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::fixture_overfit_construction_00"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::controlled::fixture_overfit_construction_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::fixture_overfit_construction_00""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
1.0,low_density_fixture_passing_wrong,16,16,480,480,1.0,1.0,0.0,1.0,1.0,1.0,1.0,75.5,23.0,0.21875,0.19267301401123405,0.0014545,0,[],16,"[""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::fixture_overfit_construction_00"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::fixture_overfit_construction_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::controlled::fixture_overfit_construction_01"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
1.0,non_fixture_overfit_fixture_passing_wrong,15,15,450,450,1.0,1.0,0.0,1.0,1.0,1.0,1.0,74.0,22.0,0.21875,0.19335500051965937,0.0014315,0,[],15,"[""BearSSL::tools_names.c::is_ign::0004::a92f16112529::controlled::return_value_perturbation_01"", ""TinyCC::arm64-asm.c::is_valid_movw_shift::0010::b17f74db7409::controlled::comparison_operator_replacement_01"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::integer_or_character_constant_plus_1_00"", ""chibicc::tokenize.c::from_hex::0005::45632cc30325::controlled::return_value_perturbation_01"", ""libb64::src_cdecode.c::base64_decode_value::0001::7b72285f2481::controlled::return_value_perturbation_00"", ""libtomcrypt::src_pk_asn1_der_utctime_der_decode_utctime.c::s_char_to_int::0001::f87ee5162c3b::controlled::return_value_perturbation_01"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::comparison_operator_replacement_00"", ""mbedtls::library_x509_create.c::hex_to_int::0001::7aeb57347f91::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_network_inet_pton.c::hexval::0001::a0a6dbc2a411::controlled::comparison_operator_replacement_00"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::integer_or_character_constant_plus_1_01"", ""musl::src_regex_regcomp.c::hexval::0004::5a81c0c932f7::controlled::return_value_perturbation_00"", ""sbase::cron.c::isleap::0001::0fde71268ef6::controlled::return_value_perturbation_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::comparison_operator_replacement_00"", ""sqlite::src_test_func.c::testHexChar::0001::9046f0b5e72e::controlled::return_value_perturbation_01"", ""xxHash::cli_xxhsum.c::charToHex::0005::cd1daff90d32::controlled::comparison_operator_replacement_01""]",0,0,0,0,0,0,0,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
1.0,no_mismatch_comparison,34,31,1020,930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105344.0,64.0,1.0,,,34,"[""BearSSL::tools_names.c::hexval::0008::993a0d3d1ea6::controlled::return_value_perturbation_00"", ""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::controlled::integer_or_character_constant_plus_1_00"", ""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::ghidra::clang_O2"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::ghidra::clang_O2"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::ghidra::clang_O2"", ""TinyCC::x86_64-gen.c::using_regs::0004::b9ec9c9e28b6::controlled::integer_or_character_constant_plus_1_00"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::ghidra::clang_O2"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::controlled::comparison_operator_replacement_00"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::controlled::fixture_overfit_construction_01"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::ghidra::clang_O2"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::controlled::comparison_operator_replacement_00"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::controlled::fixture_overfit_construction_01"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::ghidra::clang_O2"", ""musl::src_ctype_isspace.c::isspace::0001::93f674d2bcdd::ghidra::clang_O2"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::controlled::comparison_operator_replacement_00"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::controlled::return_value_perturbation_01"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::ghidra::clang_O2"", ""musl::src_stdlib_llabs.c::llabs::0001::b58997ecb0f1::controlled::integer_or_character_constant_plus_1_00"", ""musl::src_stdlib_llabs.c::llabs::0001::b58997ecb0f1::controlled::return_value_perturbation_01"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::ghidra::clang_O2"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::ghidra::clang_O2"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::ghidra::clang_O2"", ""sbase::libutil_crypt.c::hexdec::0001::4049dfdaa8fe::controlled::comparison_operator_replacement_01"", ""sbase::libutil_crypt.c::hexdec::0001::4049dfdaa8fe::controlled::return_value_perturbation_00"", ""sbase::make_parser.c::internal::0007::6720595969ae::controlled::fixture_overfit_construction_01"", ""sbase::make_parser.c::internal::0007::6720595969ae::controlled::integer_or_character_constant_plus_1_00"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::controlled::fixture_overfit_construction_01"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::controlled::integer_or_character_constant_plus_1_00"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::ghidra::clang_O2"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::ghidra::clang_O2"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::ghidra::clang_O2"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::controlled::return_value_perturbation_01"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::ghidra::clang_O2"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::ghidra::clang_O2""]",0,[],0,0,0,0,0,930,1,90,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
1.0,natural_ghidra_no_mismatch,16,16,480,480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105394.0,64.0,1.0,,,16,"[""TinyCC::conftest.c::isid::0001::8f9cf31cf5da::ghidra::clang_O2"", ""TinyCC::conftest.c::isspc::0002::8253a2dcd0bb::ghidra::clang_O2"", ""TinyCC::riscv64-gen.c::is_freg::0004::4c61127d0c8b::ghidra::clang_O2"", ""mbedtls::library_x509.c::nibble_to_hex_digit::0015::b855ad07642b::ghidra::clang_O2"", ""musl::src_ctype_isalpha.c::isalpha::0001::279b5a02fc43::ghidra::clang_O2"", ""musl::src_ctype_isgraph.c::isgraph::0001::42b3df97c421::ghidra::clang_O2"", ""musl::src_ctype_isspace.c::isspace::0001::93f674d2bcdd::ghidra::clang_O2"", ""musl::src_stdlib_abs.c::abs::0001::7d806d7b2171::ghidra::clang_O2"", ""sbase::find.c::cmp_eq::0002::16afa3d71aab::ghidra::clang_O2"", ""sbase::find.c::cmp_gt::0001::7383663fc3bf::ghidra::clang_O2"", ""sbase::find.c::cmp_lt::0003::3ff7fb5ec166::ghidra::clang_O2"", ""sqlite::ext_fts3_fts3_tokenizer1.c::fts3_isalnum::0002::9b0f8eebf62b::ghidra::clang_O2"", ""sqlite::ext_misc_regexp.c::re_maxnfa::0011::403cd1ada2c2::ghidra::clang_O2"", ""sqlite::src_os_win.c::winMemRoundup::0005::7e0ed1b07591::ghidra::clang_O2"", ""sqlite::src_test_malloc.c::hexToInt::0006::50e837e0cf07::ghidra::clang_O2"", ""sqlite::src_util.c::pwr2to10::0010::f25b8f10dea3::ghidra::clang_O2""]",0,[],0,0,0,0,0,480,1,0,completed,False,False,Ubuntu clang version 11.0.0-2~ubuntu20.04.1
