group_type,group,wrong_candidate_denominator,historical_exact_witness_reuse,candidates_with_reconstructed_exact_witness_overlap_under_current_artifact,overlap_rate,only_probe_family_overlap,no_demonstrated_overlap,unresolved_reconstruction_count
scope,all_compiled_wrong_label_records,377,0,354,0.9389920424403183,23,0,0
scope,current_full_result_tables,368,0,354,0.9619565217391305,14,0,0
scope,primary_paired_cases,340,0,326,0.9588235294117647,14,0,0
scope,natural_tool_or_llm_outputs_only,36,0,36,1.0,0,0,0
scope,controlled_stress_candidates_only,332,0,318,0.9578313253012049,14,0,0
dataset,phase6r_ghidra_full,74,0,68,0.918918918918919,6,0,0
dataset,phase7c2_static_hard_public,258,0,250,0.9689922480620154,8,0,0
dataset,phase7e_llm_public_full_topup,36,0,36,1.0,0,0,0
drift_family,fixture_overfit_stress,74,0,68,0.918918918918919,6,0,0
drift_family,llm_generated_strict_bug,30,0,30,1.0,0,0,0
drift_family,llm_generated_strict_rewrite,6,0,6,1.0,0,0,0
drift_family,static_arithmetic_operator,100,0,96,0.96,4,0,0
drift_family,static_bitwise_operator,2,0,2,1.0,0,0,0
drift_family,static_compound_assignment,12,0,12,1.0,0,0,0
drift_family,static_constant,34,0,34,1.0,0,0,0
drift_family,static_predicate_equality,18,0,18,1.0,0,0,0
drift_family,static_predicate_strictness,16,0,16,1.0,0,0,0
drift_family,static_return_expression,76,0,72,0.9473684210526315,4,0,0
