candidate_id,selected_function_id,project,source_path,function_name,producer,producer_version,build_view,compiler,compiler_flags,architecture,raw_output_path,normalized_candidate_path,transformation_log_path,compile_log_path,parse_status,compile_status,harness_status,final_candidate_status,non_evaluable_reason,prompt_hash,binary_hash,normalized_candidate_hash,raw_output_hash
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::ghidra::gcc_O0::0ac6d1f4c85e,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,ghidra,12.1.2,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_gcc_O0_0ac6d1f4c85e/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_gcc_O0_0ac6d1f4c85e/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_gcc_O0_0ac6d1f4c85e/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_gcc_O0_0ac6d1f4c85e/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,e886ec2969805e164aa4922725d72a7d8031e0bc5f46cad619ada3907e3ac41b,17d321b96855a8d3215825baa162bd62f4a33223361a95d82b31e29c73411406,618b71e8b26c0af5a22a0dbb9039c2969a70c2fa1a06877dd3091319d11378e2
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::angr::gcc_O0::6e142f810780,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,angr,9.2.102,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_gcc_O0_6e142f810780/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_gcc_O0_6e142f810780/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_gcc_O0_6e142f810780/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_gcc_O0_6e142f810780/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,,e886ec2969805e164aa4922725d72a7d8031e0bc5f46cad619ada3907e3ac41b,5e5fd1038a2857e2d0b87aececccd2eb85dd2dc6a98c654daaafc0032be3678d,5faa4cf2fcb20f9c495e146da04f35688510574cb3c02b7106203a4b919305ab
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::gcc_O0::d18fd14766b9,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,llm4decompile,LLM4Binary/llm4decompile-22b-v2@be2ac0bbb3bfa508d9f8a4790329250f1cb13ddc,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_gcc_O0_d18fd14766b9/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_gcc_O0_d18fd14766b9/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_gcc_O0_d18fd14766b9/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_gcc_O0_d18fd14766b9/compile_log.json,parse_failure,non_evaluable,not_run,decompilation_failure,llm4decompile_exception,793032613ff74511f9a1e60d2104eac654d3ac588e97f93003f8ab2bf39cb752,e886ec2969805e164aa4922725d72a7d8031e0bc5f46cad619ada3907e3ac41b,,
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::mycodex_api::gcc_O0::50ebb151ba50,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,mycodex_api,gpt-5.5,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_gcc_O0_50ebb151ba50/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_gcc_O0_50ebb151ba50/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_gcc_O0_50ebb151ba50/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_gcc_O0_50ebb151ba50/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,ff644acaaac86b8b1637b2cdab7e8a8d5f188a987428c247336141e27e837eb8,e886ec2969805e164aa4922725d72a7d8031e0bc5f46cad619ada3907e3ac41b,0b327927001cad5d127a14303353fb285a229c8977b346fd2fc41467bdb01579,ab03370013223fec5baae15a72676bec1f3e85465840bd3c6b05c4f30fa288b1
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::ghidra::clang_O2::eec6cfb637fb,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,ghidra,12.1.2,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_eec6cfb637fb/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_eec6cfb637fb/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_eec6cfb637fb/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_eec6cfb637fb/compile_log.json,parse_failure,non_evaluable,not_run,producer_view_unavailable,compiler_unavailable:clang,,,,
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::angr::clang_O2::5e1aee07862b,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,angr,9.2.102,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_5e1aee07862b/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_5e1aee07862b/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_5e1aee07862b/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_5e1aee07862b/compile_log.json,parse_failure,non_evaluable,not_run,producer_view_unavailable,compiler_unavailable:clang,,,,
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::clang_O2::b858304ac24a,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,llm4decompile,LLM4Binary/llm4decompile-22b-v2@be2ac0bbb3bfa508d9f8a4790329250f1cb13ddc,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_clang_O2_b858304ac24a/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_clang_O2_b858304ac24a/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_clang_O2_b858304ac24a/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_llm4decompile_clang_O2_b858304ac24a/compile_log.json,parse_failure,non_evaluable,not_run,producer_view_unavailable,compiler_unavailable:clang,,,,
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::mycodex_api::clang_O2::1759a078382b,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,mycodex_api,gpt-5.5,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_1759a078382b/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_1759a078382b/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_1759a078382b/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_1759a078382b/compile_log.json,parse_failure,non_evaluable,not_run,producer_view_unavailable,compiler_unavailable:clang,,,,
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::ghidra::gcc_O0::f20c115ed782,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,ossfuzz/fuzz_data_producer.c,FUZZ_getRange_from_uint32,ghidra,12.1.2,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_gcc_O0_f20c115ed782/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_gcc_O0_f20c115ed782/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_gcc_O0_f20c115ed782/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_gcc_O0_f20c115ed782/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,,12c1cf47b9459f9983142e9557e2c6129eb04dfe0bbba6d9f2da2cd57f5ee195,4e61f9b67172b56632ba08f5aa394403d7d162da42f62f163c3a00b0db45458d,9fdd8f8f1a21b6eb11c0cbec7030263066ab3d3cb3d1d491691056a69065450c
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::angr::gcc_O0::1a39582400e2,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,ossfuzz/fuzz_data_producer.c,FUZZ_getRange_from_uint32,angr,9.2.102,gcc_O0,gcc,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O0 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/raw/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_gcc_O0_1a39582400e2/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_gcc_O0_1a39582400e2/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/normalized/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_gcc_O0_1a39582400e2/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3a_candidates/compile/phase3a_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_gcc_O0_1a39582400e2/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,12c1cf47b9459f9983142e9557e2c6129eb04dfe0bbba6d9f2da2cd57f5ee195,650996fff19ebf3357ff0d064892e5a17bdcc726b8892ef6c417af47d32af214,b31240122898906dff8f6de23ac470fdd3cc8ad108b1d7765b1f5e323e9b86de
