candidate_id,selected_function_id,project,source_path,function_name,producer,producer_version,build_view,compiler,compiler_flags,architecture,raw_output_path,normalized_candidate_path,transformation_log_path,compile_log_path,parse_status,compile_status,harness_status,final_candidate_status,non_evaluable_reason,prompt_hash,binary_hash,normalized_candidate_hash,raw_output_hash
phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::ghidra::clang_O2::6f1f474e046e,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,ghidra,12.1.2,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_6f1f474e046e/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_6f1f474e046e/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_6f1f474e046e/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_ghidra_clang_O2_6f1f474e046e/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,8aded0e33ea99c5a0c19de39aa56ac2221b76f4a51e292c9af137a6cf221ccdd,dd28055ff8f8eb4efd1cce34d65dbf6d7f82218c582bb1b53b714876aaed45e3,565ff505ccc55481e5c817014d11e6f15623a23678cf72b6457c4a74d92726c3
phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::angr::clang_O2::55708057c47c,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,angr,9.2.102,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_55708057c47c/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_55708057c47c/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_55708057c47c/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_angr_clang_O2_55708057c47c/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,,8aded0e33ea99c5a0c19de39aa56ac2221b76f4a51e292c9af137a6cf221ccdd,50a6f388c1ac1d87e8330261e7f78eced12c433ace0deba2051da02a3e839e2a,f5873be831848b70c0dc784d8b4845fe57229255d614e0bc812fbb1f83210e25
phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::mycodex_api::clang_O2::aa3d2345f9a2,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,src/utf.c,utf8_check_first,mycodex_api,gpt-5.5,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_aa3d2345f9a2/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_aa3d2345f9a2/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_aa3d2345f9a2/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c_mycodex_api_clang_O2_aa3d2345f9a2/compile_log.json,parse_failure,non_evaluable,not_run,decompilation_failure,api_exception,b76d0e500152ec525dda900276f92bb9c28985ee106cf7d418902742a8ae55c5,8aded0e33ea99c5a0c19de39aa56ac2221b76f4a51e292c9af137a6cf221ccdd,,
phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::ghidra::clang_O2::066c49709dc5,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,ossfuzz/fuzz_data_producer.c,FUZZ_getRange_from_uint32,ghidra,12.1.2,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_clang_O2_066c49709dc5/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_clang_O2_066c49709dc5/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_clang_O2_066c49709dc5/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_ghidra_clang_O2_066c49709dc5/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,,73104b49cb658b724a370e9185ed42915e01d012b0ce6dc037a94c48eda897e3,ab2e82a8cdff0ef3093e7358977f42280f0875280bb3fe6627715a93b76c2159,7fb852b0eae565db993f7ccdba6e1ec7c449d8912c5aa47891bfe8349e8e42be
phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::angr::clang_O2::3fc2e31d6d19,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,ossfuzz/fuzz_data_producer.c,FUZZ_getRange_from_uint32,angr,9.2.102,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_clang_O2_3fc2e31d6d19/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_clang_O2_3fc2e31d6d19/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_clang_O2_3fc2e31d6d19/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_angr_clang_O2_3fc2e31d6d19/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,73104b49cb658b724a370e9185ed42915e01d012b0ce6dc037a94c48eda897e3,b0062e4aab83ef57bed69bb7a370f13e0e8aeda0d8469e9994edc0b6989e1bdf,155f1cc45fa71460a4baf2af523df65b28ebbd4d0b86ba64e85a378d6ad2884c
phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::mycodex_api::clang_O2::84ddd1bedf8e,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,ossfuzz/fuzz_data_producer.c,FUZZ_getRange_from_uint32,mycodex_api,gpt-5.5,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_mycodex_api_clang_O2_84ddd1bedf8e/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_mycodex_api_clang_O2_84ddd1bedf8e/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_mycodex_api_clang_O2_84ddd1bedf8e/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a_mycodex_api_clang_O2_84ddd1bedf8e/compile_log.json,parse_failure,non_evaluable,not_run,decompilation_failure,api_exception,6f39a66c343b52cbb1bfaa1db165d0203bfad60b5c18157f8cab9cb1d9d6a5cd,73104b49cb658b724a370e9185ed42915e01d012b0ce6dc037a94c48eda897e3,,
phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::ghidra::clang_O2::d2b039d6428a,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,lib/dictBuilder/divsufsort.c,tr_ilg,ghidra,12.1.2,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_ghidra_clang_O2_d2b039d6428a/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_ghidra_clang_O2_d2b039d6428a/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_ghidra_clang_O2_d2b039d6428a/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_ghidra_clang_O2_d2b039d6428a/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,d6103dc25e6d7522805a69a431c6ab95fd6fc738549165bda5e04de34817389d,b54cadb89bcfe534adcc3921a29ed9bd96f4480e29175d5f93f2a3fe61cdd127,1679bb3abf5e7d4ba3bb72f5a5333a0256734f136fd4f44199cd63185bd3495e
phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::angr::clang_O2::2dbe0f9f54e9,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,lib/dictBuilder/divsufsort.c,tr_ilg,angr,9.2.102,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_angr_clang_O2_2dbe0f9f54e9/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_angr_clang_O2_2dbe0f9f54e9/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_angr_clang_O2_2dbe0f9f54e9/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_angr_clang_O2_2dbe0f9f54e9/compile_log.json,parsed_function,non_evaluable,not_run,compile_failure,compile_failure,,d6103dc25e6d7522805a69a431c6ab95fd6fc738549165bda5e04de34817389d,3dc4eef2bf606fb72b0ae527e23a64cae9ec835502b9abd1eead374b4c266ce1,0046af6b42a14c1506906da95d52bf3e49ef600a6a61599b49c4a8f010c9a427
phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::mycodex_api::clang_O2::e29d4a2fbd51,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,lib/dictBuilder/divsufsort.c,tr_ilg,mycodex_api,gpt-5.5,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_mycodex_api_clang_O2_e29d4a2fbd51/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_mycodex_api_clang_O2_e29d4a2fbd51/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_mycodex_api_clang_O2_e29d4a2fbd51/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0_mycodex_api_clang_O2_e29d4a2fbd51/compile_log.json,parse_failure,non_evaluable,not_run,decompilation_failure,api_exception,3dd21359c67a24bec20da8156876d99625a145ef9d08c502c18583eaf6e8da8a,d6103dc25e6d7522805a69a431c6ab95fd6fc738549165bda5e04de34817389d,,
phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::ghidra::clang_O2::afa054bd638f,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,lib/legacy/zstd_v05.c,FSEv05_abs,ghidra,12.1.2,clang_O2,clang,-std=c11 -Wall -Wextra -Wno-unused-const-variable -O2 -g -fno-inline,x86_64-linux-gnu,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/raw/phase3ar_zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968_ghidra_clang_O2_afa054bd638f/raw_output.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968_ghidra_clang_O2_afa054bd638f/candidate.c,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/normalized/phase3ar_zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968_ghidra_clang_O2_afa054bd638f/transformation_log.json,/home/shx/projects/binary_faithful_decompilation/analysis_outputs/decompile_faithfulness/phase3ar_recovery_run2/compile/phase3ar_zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968_ghidra_clang_O2_afa054bd638f/compile_log.json,parsed_function,compile_ready,compile_ready,minimally_normalized_candidate,,,026649782c64709a416aac5682c43e2730052ade634d8620bf5be26ad4029112,591fb2f2adbe0fade1ed148033612017c133400b5dd62349d07b12f9460e48ce,f57b3138f073175cc0d4f9596c0a82a2099ea7590f84cc239ebad134777483b7
