candidate_id,census_phase,original_candidate_id,project,producer,build_view,function,selected_function_id,argument_count,ast_node_count,cyclomatic_complexity,branch_count,loop_count,switch_presence,lookup_table_access,bitwise_operation_count,comparison_count,character_literal_count,integer_literal_count,domain_size,mismatch_count,mismatch_density,connected_mismatch_intervals_1d,boundary_distance,fixture_distance,categorical_value_concentration,argument_interaction_dependent,compile_normalization_extent,taxonomy_tags,primary_taxonomy_tag,fixture_replay_label,counts_for_gate,recovered_clang_O2_cell,recovered_llm4decompile_interface_cell
phase3ar::mpack_src_mpack_mpack-common.c_mpack_hex_char_0002_114e163a936d::angr::clang_O2::f2586f8a99ff,recovery,phase3a::mpack_src_mpack_mpack-common.c_mpack_hex_char_0002_114e163a936d::angr::clang_O2::be6e430b7d5a,mpack,angr,clang_O2,mpack_hex_char,mpack::src_mpack_mpack-common.c::mpack_hex_char::0002::114e163a936d,1,11,2,1,0,0,0,0,1,2,3,128,128,1.0,1,0,42,0,0,5,signedness or width error,signedness or width error,fixture_failing_semantic_wrong,0,1,0
phase3ar::klib_kbit.h_kbi_DNAcount64_0002_3ec293d4e9c0::angr::clang_O2::fe48fa613d12,recovery,phase3a::klib_kbit.h_kbi_DNAcount64_0002_3ec293d4e9c0::angr::clang_O2::d64bd5e7fbb5,klib,angr,clang_O2,kbi_DNAcount64,klib::kbit.h::kbi_DNAcount64::0002::3ec293d4e9c0,2,11,3,2,0,0,0,13,0,0,11,4096,3456,0.84375,,32,349,0,1,5,signedness or width error;arithmetic error;multi-argument interaction error,signedness or width error,fixture_failing_semantic_wrong,0,1,0
phase3ar::htslib_kstring.c_fast_exp_0008_939028784d18::angr::clang_O2::720a48aa6e31,recovery,phase3a::htslib_kstring.c_fast_exp_0008_939028784d18::angr::clang_O2::346bb51ee721,htslib,angr,clang_O2,fast_exp,htslib::kstring.c::fast_exp::0008::939028784d18,2,11,4,2,1,0,0,2,3,0,7,4096,3662,0.89404296875,,2,42,0,0,5,signedness or width error;arithmetic error;loop/state error,signedness or width error,fixture_failing_semantic_wrong,0,1,0
phase3ar::htslib_cram_cram_io.c_itf8_size_0014_33f5aa8539a5::angr::clang_O2::a4032a2557e4,recovery,phase3a::htslib_cram_cram_io.c_itf8_size_0014_33f5aa8539a5::angr::clang_O2::95c6ecc5f608,htslib,angr,clang_O2,itf8_size,htslib::cram_cram_io.c::itf8_size::0014::33f5aa8539a5,1,11,5,4,0,0,0,8,0,0,9,128,64,0.5,1,0,44,0,0,5,arithmetic error;condition-boundary error,arithmetic error,fixture_failing_semantic_wrong,0,1,0
phase3ar::libevent_http.c_evhttp_valid_response_code_0010_698d7ff2942e::angr::clang_O2::f257499b56b3,recovery,phase3a::libevent_http.c_evhttp_valid_response_code_0010_698d7ff2942e::angr::clang_O2::ddfd71114276,libevent,angr,clang_O2,evhttp_valid_response_code,libevent::http.c::evhttp_valid_response_code::0010::698d7ff2942e,1,11,2,1,0,0,0,0,1,0,3,128,126,0.984375,2,0,1,0,0,5,unknown/mixed,unknown/mixed,fixture_failing_semantic_wrong,0,1,0
phase3ar::brotli_c_enc_encode.c_BrotliEncoderMaxCompressedSize_0007_2bb0ac63e571::angr::clang_O2::36b303ac017f,recovery,phase3a::brotli_c_enc_encode.c_BrotliEncoderMaxCompressedSize_0007_2bb0ac63e571::angr::clang_O2::ad8c70d46714,brotli,angr,clang_O2,BrotliEncoderMaxCompressedSize,brotli::c_enc_encode.c::BrotliEncoderMaxCompressedSize::0007::2bb0ac63e571,1,11,3,2,0,0,0,1,2,0,8,128,127,0.9921875,1,1,46,0,0,5,signedness or width error;arithmetic error,signedness or width error,fixture_failing_semantic_wrong,0,1,0
phase3ar::nghttp2_lib_nghttp2_helper.c_nghttp2_should_send_window_update_0005_16ca1890ce82::angr::clang_O2::50a5ee40a266,recovery,phase3a::nghttp2_lib_nghttp2_helper.c_nghttp2_should_send_window_update_0005_16ca1890ce82::angr::clang_O2::62c4b79631f7,nghttp2,angr,clang_O2,nghttp2_should_send_window_update,nghttp2::lib_nghttp2_helper.c::nghttp2_should_send_window_update::0005::16ca1890ce82,2,11,2,0,0,0,0,0,2,0,2,4096,2304,0.5625,,0,2353,0,1,5,multi-argument interaction error,multi-argument interaction error,fixture_failing_semantic_wrong,0,1,0
phase3ar::libxdiff_xutils.c_xdl_bogosqrt_0001_4a9d97f32ee4::angr::clang_O2::d97373ef7a02,recovery,phase3a::libxdiff_xutils.c_xdl_bogosqrt_0001_4a9d97f32ee4::angr::clang_O2::5a4e75f71584,libxdiff,angr,clang_O2,xdl_bogosqrt,libxdiff::xutils.c::xdl_bogosqrt::0001::4a9d97f32ee4,1,11,2,0,1,0,0,2,3,0,4,128,60,0.46875,1,59,3,0,0,5,arithmetic error;loop/state error,arithmetic error,fixture_failing_semantic_wrong,0,1,0
phase3ar::open62541_deps_mp_printf.c_is_digit__0002_8633e37596f0::angr::clang_O2::84eb73d617ae,recovery,phase3a::open62541_deps_mp_printf.c_is_digit__0002_8633e37596f0::angr::clang_O2::a5dd31a416b7,open62541,angr,clang_O2,is_digit_,open62541::deps_mp_printf.c::is_digit_::0002::8633e37596f0,1,11,2,0,0,0,0,0,2,2,2,128,48,0.375,1,0,55,0,0,5,signedness or width error,signedness or width error,fixture_passing_semantic_wrong,1,1,0
phase3ar::libidn2_lib_punycode.c_encode_digit_0001_db84d723415b::angr::clang_O2::f3147b1c6bbb,recovery,phase3a::libidn2_lib_punycode.c_encode_digit_0001_db84d723415b::angr::clang_O2::3db77b316411,libidn2,angr,clang_O2,encode_digit,libidn2::lib_punycode.c::encode_digit::0001::db84d723415b,2,11,1,0,0,0,0,1,2,0,5,4096,4032,0.984375,,32,1188,0,1,5,signedness or width error;arithmetic error;multi-argument interaction error,signedness or width error,fixture_failing_semantic_wrong,0,1,0
