original_candidate_id,recovery_candidate_id,selected_function_id,project,function_name,producer,build_view,original_failure_reason,recovery_eligibility,recovery_reason,clang_fix_required,llm4decompile_fix_required,clang_recovery_status,llm4decompile_recovery_status
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::gcc_O0::d18fd14766b9,phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::gcc_O0::3099bbe7f5ba,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,utf8_check_first,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::ghidra::clang_O2::eec6cfb637fb,phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::ghidra::clang_O2::6f1f474e046e,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,utf8_check_first,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::angr::clang_O2::5e1aee07862b,phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::angr::clang_O2::55708057c47c,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,utf8_check_first,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::clang_O2::b858304ac24a,phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::llm4decompile::clang_O2::b0fa3b0ef274,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,utf8_check_first,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::mycodex_api::clang_O2::1759a078382b,phase3ar::jansson_src_utf.c_utf8_check_first_0002_bd274d85b99c::mycodex_api::clang_O2::aa3d2345f9a2,jansson::src_utf.c::utf8_check_first::0002::bd274d85b99c,jansson,utf8_check_first,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::llm4decompile::gcc_O0::0840b8691803,phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::llm4decompile::gcc_O0::0027f69c7a99,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,FUZZ_getRange_from_uint32,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::ghidra::clang_O2::87ab52503e27,phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::ghidra::clang_O2::066c49709dc5,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,FUZZ_getRange_from_uint32,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::angr::clang_O2::96188a32a405,phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::angr::clang_O2::3fc2e31d6d19,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,FUZZ_getRange_from_uint32,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::llm4decompile::clang_O2::a75ec4e22ac1,phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::llm4decompile::clang_O2::f30513459f1d,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,FUZZ_getRange_from_uint32,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::mycodex_api::clang_O2::12a01d1e9079,phase3ar::lz4_ossfuzz_fuzz_data_producer.c_FUZZ_getRange_from_uint32_0002_6013176dac9a::mycodex_api::clang_O2::84ddd1bedf8e,lz4::ossfuzz_fuzz_data_producer.c::FUZZ_getRange_from_uint32::0002::6013176dac9a,lz4,FUZZ_getRange_from_uint32,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::llm4decompile::gcc_O0::e296f1c6d956,phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::llm4decompile::gcc_O0::8679bd313d30,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,tr_ilg,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::ghidra::clang_O2::eba88e6a4f14,phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::ghidra::clang_O2::d2b039d6428a,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,tr_ilg,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::angr::clang_O2::0c9aeba1b916,phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::angr::clang_O2::2dbe0f9f54e9,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,tr_ilg,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::llm4decompile::clang_O2::d76c87652a24,phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::llm4decompile::clang_O2::d62bd693e5ba,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,tr_ilg,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::mycodex_api::clang_O2::c2c94907e11f,phase3ar::zstd_lib_dictBuilder_divsufsort.c_tr_ilg_0004_605a23eee9d0::mycodex_api::clang_O2::e29d4a2fbd51,zstd::lib_dictBuilder_divsufsort.c::tr_ilg::0004::605a23eee9d0,zstd,tr_ilg,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::llm4decompile::gcc_O0::d2d67433e82c,phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::llm4decompile::gcc_O0::b64f2069d73c,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,FSEv05_abs,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::ghidra::clang_O2::ef2504d539d4,phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::ghidra::clang_O2::afa054bd638f,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,FSEv05_abs,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::angr::clang_O2::a9b239782bbb,phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::angr::clang_O2::59bdc20fb2f8,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,FSEv05_abs,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::llm4decompile::clang_O2::bdbaa75dafc2,phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::llm4decompile::clang_O2::1ebf939bb3e4,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,FSEv05_abs,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::mycodex_api::clang_O2::4bcd3a092682,phase3ar::zstd_lib_legacy_zstd_v05.c_FSEv05_abs_0002_5301e5508968::mycodex_api::clang_O2::9c510f42540f,zstd::lib_legacy_zstd_v05.c::FSEv05_abs::0002::5301e5508968,zstd,FSEv05_abs,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::llm4decompile::gcc_O0::dfe502ea9780,phase3ar::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::llm4decompile::gcc_O0::2eba8e699fcf,zstd::programs_util.c::UTIL_countCores::0042::c5d24f6b3f7a,zstd,UTIL_countCores,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
phase3a::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::ghidra::clang_O2::cd4ebe398b74,phase3ar::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::ghidra::clang_O2::1f7a79ff72be,zstd::programs_util.c::UTIL_countCores::0042::c5d24f6b3f7a,zstd,UTIL_countCores,ghidra,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::angr::clang_O2::16b3224b6a67,phase3ar::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::angr::clang_O2::15a128afa0a4,zstd::programs_util.c::UTIL_countCores::0042::c5d24f6b3f7a,zstd,UTIL_countCores,angr,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::llm4decompile::clang_O2::a9b9ed907ccf,phase3ar::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::llm4decompile::clang_O2::1bd14c778811,zstd::programs_util.c::UTIL_countCores::0042::c5d24f6b3f7a,zstd,UTIL_countCores,llm4decompile,clang_O2,compiler_unavailable:clang,blocked,clang_O2_compiler_recovery;llm4decompile_token_type_ids_interface_recovery,1,1,available,blocked
phase3a::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::mycodex_api::clang_O2::301a7ea8c6ea,phase3ar::zstd_programs_util.c_UTIL_countCores_0042_c5d24f6b3f7a::mycodex_api::clang_O2::ec7bdaad403f,zstd::programs_util.c::UTIL_countCores::0042::c5d24f6b3f7a,zstd,UTIL_countCores,mycodex_api,clang_O2,compiler_unavailable:clang,eligible,clang_O2_compiler_recovery,1,0,available,blocked
phase3a::zstd_lib_compress_huf_compress.c_HUF_tightCompressBound_0020_3972f2d122f6::llm4decompile::gcc_O0::c110eb11fbb7,phase3ar::zstd_lib_compress_huf_compress.c_HUF_tightCompressBound_0020_3972f2d122f6::llm4decompile::gcc_O0::d4b6eddf9e65,zstd::lib_compress_huf_compress.c::HUF_tightCompressBound::0020::3972f2d122f6,zstd,HUF_tightCompressBound,llm4decompile,gcc_O0,llm4decompile_exception,blocked,llm4decompile_token_type_ids_interface_recovery,0,1,available,blocked
