policy,scope,budget,denominator,detected,detection_rate,median_first_witness_rank
source_behavioral_diversity,controlled_primary_fixture_passing_wrong,8,37,33,0.8918918918918919,2.0
output_diversity_only,controlled_primary_fixture_passing_wrong,8,37,31,0.8378378378378378,2.0
coverage_diversity_only,controlled_primary_fixture_passing_wrong,8,37,31,0.8378378378378378,1.0
output_then_coverage,controlled_primary_fixture_passing_wrong,8,37,34,0.918918918918919,1.5
coverage_then_output,controlled_primary_fixture_passing_wrong,8,37,34,0.918918918918919,1.5
source_behavioral_diversity_no_distance,controlled_primary_fixture_passing_wrong,8,37,34,0.918918918918919,1.5
source_behavioral_diversity,controlled_low_density_fixture_passing_wrong,8,16,12,0.75,2.0
output_diversity_only,controlled_low_density_fixture_passing_wrong,8,16,10,0.625,2.0
coverage_diversity_only,controlled_low_density_fixture_passing_wrong,8,16,12,0.75,2.0
output_then_coverage,controlled_low_density_fixture_passing_wrong,8,16,13,0.8125,2.0
coverage_then_output,controlled_low_density_fixture_passing_wrong,8,16,13,0.8125,2.0
source_behavioral_diversity_no_distance,controlled_low_density_fixture_passing_wrong,8,16,13,0.8125,2.0
source_behavioral_diversity,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
output_diversity_only,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
coverage_diversity_only,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
output_then_coverage,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
coverage_then_output,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
source_behavioral_diversity_no_distance,natural_llm_primary_fixture_passing_wrong,8,2,0,0.0,
